id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,Suspiro limeño
5,huevos tomate pan y cebolla
6,padthai
7,masa de pizza de un dia para otro
8,Italian pasta dish with mushrooms
9,Vegan dessert recipe without nuts
10,What can I make with chicken, rice, and broccoli?
11,Quick lunch for work under 15 minutes
12,Easy dinner for two people
13,Recipe under 30 minutes
14,Beginner-friendly baking recipe
15,Spicy Thai curry with vegetables
16,Gluten-free breakfast ideas
17,Healthy snack for kids
18,Something delicious and easy