query,tuple,response
* Si prefieres un sabor más suave, retira las semillas de los pimientos antes de cortarlos.
* Para un toque extra, agrega unas aceitunas negras al pisto en los últimos minutos de cocción.

¡Disfruta de este reconfortante plato mediterráneo lleno de color y sabor!"
"""Searching for a simple vegan dish with Asian flavors that I can make fast! Any ideas for someone new to cooking?""","(vegan, general_pantry, Asian, beginner_easy_low_effort, quick_under_30_mins, short_keywords_minimal_detail)","## Salteado Vegano Rápido con Sabor Asiático
Este salteado vegano es una opción sencilla, sabrosa y rápida para introducirte en la cocina con sabores asiáticos. Usaremos ingredientes básicos y una salsa sencilla para darle un toque delicioso.

### Ingredientes
* 150 g de tofu firme, cortado en cubos de 2 cm
* 1 pimiento rojo mediano (aproximadamente 150 g), cortado en tiras
* 1 zanahoria mediana (aproximadamente 100 g), en juliana (cortes de 5 mm)
* 100 g de brócoli, cortado en floretes pequeños
* 15 ml de aceite de sésamo (o aceite vegetal si no tienes)
* 30 ml de salsa de soja baja en sal
* 10 ml de miel o si prefieres, sirope de agave para opción vegana estricta
* 1 diente de ajo pequeño (aproximadamente 5 g), picado finamente
* 1 cm de jengibre fresco (aproximadamente 5 g), rallado
* 1 cucharadita de semillas de sésamo tostado (opcional)

### Instrucciones
1. Calienta el aceite de sésamo en una sartén grande o wok a fuego medio-alto.
2. Añade el ajo y el jengibre rallado, sofríe por 30 segundos hasta que estén fragantes.
3. Incorpora el tofu y saltéalo durante 4-5 minutos, hasta que esté dorado por todos lados.
4. Agrega el pimiento, zanahoria y brócoli, y cocina por 5-6 minutos removiendo frecuentemente para que se cocinen pero queden crujientes.
5. Mezcla la salsa de soja con la miel o sirope y viértela sobre el salteado.
6. Cocina un par de minutos más, mezclando bien para que todos los ingredientes se impregnen de la salsa.
7. Finaliza con las semillas de sésamo por encima si usas y sirve caliente.

### Consejos
* Puedes acompañar este plato con arroz integral o fideos de arroz para una comida completa.
* Si quieres más picante, añade un poco de chile fresco picado o salsa de chile al paso 5.

¡Disfruta de un sabor asiático fresco y saludable en muy poco tiempo!"
"""Hey everyone, I need a gluten-free recipe using specific ingredients for Mediterranean cuisine. I want it to be manageable in about 45 minutes, nothing too hard please!""","(gluten-free, must_use_specific, Mediterranean, intermediate_moderate_effort, moderate_30_to_60_mins, natural_question_moderate_detail)","¡Claro! Para ayudarte mejor, ¿podrías decirme qué ingredientes específicos tienes disponibles? Así puedo sugerirte una receta mediterránea sin gluten que se ajuste a tus ingredientes y tiempo."
"""Any suggestions for a complex keto recipe? I’m good with any American staples and I don’t have a time constraint. Detailed instructions would be appreciated!""","(keto, no_specific_ingredients, American, advanced_complex_high_effort, flexible_no_time_constraint, natural_question_moderate_detail)","## Costillas de Cerdo a la Barbacoa Keto con Salsa Casera y Guarnición de Coleslaw Cremoso
Este plato es un clásico americano elevado con un enfoque keto: costillas de cerdo tiernas y jugosas, cubiertas con una salsa barbacoa casera baja en carbohidratos, acompañadas de un cremoso coleslaw con mayonesa keto. Perfecto para una comida sin prisa y llena de sabor.

### Ingredientes

#### Para las costillas:
* 1,5 kg de costillas de cerdo (costillas baby back o baby ribs)
* 10 g de sal marina
* 5 g de pimienta negra molida
* 10 g de pimentón dulce (paprika)
* 5 g de ajo en polvo
* 5 g de cebolla en polvo
* 5 g de chile en polvo (opcional, si quieres un toque picante)
* 15 ml de aceite de oliva

#### Para la salsa barbacoa keto:
* 200 g de puré de tomate natural sin azúcar
* 30 ml de vinagre de manzana
* 20 g de eritritol o 15 ml de sirope de stevia líquida (ajustar al gusto)
* 10 g de mostaza Dijon
* 5 g de ajo picado finamente
* 5 g de cebolla picada finamente
* 5 ml de salsa Worcestershire sin azúcar (verifica ingredientes)
* 1 g de pimienta cayena (opcional)
* Sal al gusto

#### Para el coleslaw cremoso:
* 300 g de repollo blanco rallado finamente
* 100 g de mayonesa casera (aceite de oliva o aguacate, huevo, limón y sal)
* 15 ml de vinagre de manzana
* 5 g de mostaza Dijon
* 5 g de eritritol o 3 ml de stevia líquida
* Sal y pimienta al gusto

### Instrucciones

#### Costillas:
1. Precalienta el horno a 140 °C.
2. En un bol mezcla la sal, pimienta negra, pimentón dulce, ajo en polvo, cebolla en polvo y chile en polvo.
3. Retira la membrana que cubre la parte interna de las costillas para mejor textura.
4. Unta las costillas con el aceite de oliva y cubre uniformemente con la mezcla de especias.
5. Envuelve las costillas en papel aluminio, asegurándote de sellar bien para que mantengan la humedad al cocinar.
6. Coloca en una bandeja y hornea durante aproximadamente 3 horas, o hasta que la carne esté muy tierna y se separe fácilmente del hueso.
7. Mientras tanto, prepara la salsa barbacoa.

#### Salsa barbacoa keto:
1. En una cacerola mediana, pon el aceite y sofríe la cebolla y el ajo a fuego medio hasta que estén transparentes.
2. Añade el puré de tomate, vinagre, eritritol (o stevia), mostaza, salsa Worcestershire, pimienta cayena y sal.
3. Cocina a fuego lento, removiendo ocasionalmente, durante 20-25 minutos hasta que espese ligeramente.
4. Ajusta dulzor o acidez al gusto y retira del fuego.

#### Coleslaw cremoso:
1. En un bol grande, mezcla la mayonesa, vinagre, mostaza, eritritol (o stevia), sal y pimienta.
2. Añade el repollo rallado y mezcla bien hasta integrar.
3. Refrigera mínimo 30 minutos para que los sabores se desarrollen.

#### Finalización:
1. Retira las costillas del horno y abre el papel aluminio con cuidado para no quemarte con el vapor.
2. Pincela generosamente las costillas con la salsa barbacoa keto.
3. Si deseas, puedes poner las costillas bajo el grill (parrilla del horno) por 5 minutos para caramelizar la salsa.
4. Sirve las costillas calientes acompañadas del coleslaw cremoso.

### Consejos
* Puedes agregar un toque de humo líquido a la salsa barbacoa para un sabor más auténtico a barbacoa.
* La cocción lenta y baja es clave para costillas tiernas y jugosas; no acelere el proceso.
* Además del repollo, puedes añadir un poco de zanahoria rallada para más textura si lo deseas, pero en poca cantidad para mantener bajo en carbohidratos.

¡Disfruta de una experiencia americana keto auténtica, llena de sabor y texturas increíbles!"
"""Can you guys share a quick halal dish that's Mexican? I'm still a beginner and want it to be easy to prepare with everyday ingredients!""","(halal, general_pantry, Mexican, beginner_easy_low_effort, quick_under_30_mins, natural_question_moderate_detail)","## Tacos Mexicanos Rápidos y Halal
Un platillo mexicano clásico, fácil de preparar y perfecto para principiantes. Estos tacos usan ingredientes cotidianos y son completamente halal, llevando el sabor de México a tu mesa con simplicidad.

### Ingredientes
* 200 g de pechuga de pollo halal, cortada en tiras pequeñas
* 1 cebolla pequeña (aproximadamente 100 g), picada finamente
* 1 tomate mediano (aproximadamente 120 g), picado en cubos
* 4 tortillas de maíz (aproximadamente 30 g cada una)
* 1 diente de ajo (aproximadamente 5 g), picado o prensado
* 10 ml de aceite de oliva
* 1 cucharadita (5 g) de comino molido
* 1 cucharadita (5 g) de pimentón dulce (paprika)
* Sal marina, al gusto
* Pimienta negra molida, al gusto
* Un puñado de cilantro fresco picado (aproximadamente 10 g)
* 1 limón cortado en cuartos (para servir)

### Instrucciones
1. Calienta el aceite de oliva en una sartén a fuego medio.
2. Agrega la cebolla picada y el ajo, sofríe durante 2-3 minutos hasta que estén transparentes y fragantes.
3. Añade las tiras de pollo halal a la sartén y cocina por unos 5-7 minutos, revolviendo de vez en cuando, hasta que estén bien cocidas.
4. Incorpora el comino molido, el pimentón dulce, sal y pimienta al gusto. Mezcla bien para que el pollo quede bien sazonado.
5. Calienta las tortillas de maíz en una sartén separada o en el microondas durante 30 segundos para que estén suaves y flexibles.
6. Sirve las tiras de pollo en las tortillas calientes, agrega tomate picado y cilantro fresco por encima.
7. Acompaña con un cuarto de limón para exprimir al gusto sobre los tacos y disfruta.

### Consejos
* Puedes añadir un poco de salsa picante o guacamole si te gusta un toque extra de sabor.
* Si no encuentras pollo halal, puedes sustituirlo por carne molida halal o usar champiñones para una opción vegetariana.

¡Listo! Ahora tienes unos deliciosos tacos mexicanos halal que se hacen en menos de 20 minutos. ¡Buen provecho!"
"""I’d love a paleo Italian dish—please let me know if you have specific recipes in mind that take moderate time and effort. I'm looking to impress!""","(paleo, must_use_specific, Italian, intermediate_moderate_effort, moderate_30_to_60_mins, detailed_request_high_detail)","## Pollo al Estilo Italiano con Verduras Asadas (Paleo)

Esta receta es un delicioso plato paleo inspirado en la cocina italiana, perfecto para impresionar con sabores frescos y naturales. Combina pollo tierno con verduras asadas y hierbas aromáticas, sin ingredientes procesados.

### Ingredientes
* 4 muslos de pollo con piel (aproximadamente 150 g cada uno)
* 2 dientes de ajo (aproximadamente 6 g), finamente picados
* 1 pimiento rojo (aproximadamente 150 g), cortado en tiras de 1 cm de ancho
* 1 calabacín mediano (aproximadamente 200 g), cortado en medias lunas de 1 cm de grosor
* 200 g de tomates cherry, cortados a la mitad
* 30 ml de aceite de oliva virgen extra
* 1 cucharadita (5 g) de orégano seco
* 1 cucharadita (5 g) de albahaca seca o un puñado de albahaca fresca picada
* Sal marina al gusto
* Pimienta negra molida al gusto
* Un puñado de hojas frescas de perejil para decorar

### Instrucciones
1. Precalienta el horno a 200°C.
2. En una bandeja para hornear, coloca los muslos de pollo y salpimienta al gusto.
3. Mezcla en un bol el ajo picado, pimiento, calabacín, tomates cherry, orégano, albahaca, una pizca de sal, pimienta y el aceite de oliva.
4. Esparce las verduras alrededor y encima del pollo en la bandeja, asegurándote que queden bien distribuidas.
5. Hornea durante 35-40 minutos o hasta que el pollo esté dorado y cocido por dentro (temperatura interna de al menos 74°C), y las verduras tiernas.
6. Retira del horno y deja reposar 5 minutos antes de servir.
7. Decora con hojas frescas de perejil picadas justo antes de llevar a la mesa.

### Consejos
* Puedes añadir un toque picante con un poco de chile en polvo al mezclar las verduras.
* Acompaña este plato con una ensalada verde fresca si deseas un extra de frescura.

Un plato italiano paleo ideal para una cena especial y saludable. ¡Disfruta de cada bocado y sorprende a tus invitados!"
"""Anyone have a quick low-sodium Indian recipe? I want something super simple with whatever’s in my pantry for an easy meal under 30 mins!""","(low-sodium, no_specific_ingredients, Indian, beginner_easy_low_effort, quick_under_30_mins, short_keywords_minimal_detail)","## Curry de Garbanzos Rápido y Bajo en Sodio
Un plato sencillo, nutritivo y lleno de sabor que puedes preparar en menos de 30 minutos con ingredientes básicos que seguro tienes en tu despensa. Este curry es bajo en sodio pero rico en especias naturales que realzan el sabor.

### Ingredientes
* 200 g de garbanzos cocidos (enjuagados para reducir sodio si son de lata)
* 1 cebolla mediana (aproximadamente 120 g), picada finamente
* 2 tomates maduros (aproximadamente 150 g), picados
* 2 dientes de ajo (unos 6 g), picados o triturados
* 1 trozo pequeño de jengibre fresco (unos 10 g), rallado
* 15 ml de aceite de oliva o aceite vegetal
* 1 cucharadita (5 g) de cúrcuma en polvo
* 1 cucharadita (5 g) de comino en polvo
* 1 cucharadita (5 g) de garam masala
* 1/2 cucharadita (2 g) de chile en polvo (opcional, según tu gusto)
* 250 ml de agua
* Cilantro fresco picado para decorar (opcional)

### Instrucciones
1. Calienta el aceite en una sartén a fuego medio.
2. Añade la cebolla picada y sofríe durante 5 minutos o hasta que esté transparente y suave.
3. Agrega el ajo y el jengibre, cocina por 1 minuto hasta que desprendan aroma.
4. Incorpora el tomate picado y cocina 5 minutos más, hasta que el tomate se haya deshecho y formado una salsa.
5. Añade la cúrcuma, comino, garam masala y chile en polvo. Cocina las especias por 1 minuto para que liberen sus aromas.
6. Agrega los garbanzos cocidos y mezcla bien con la salsa de especias.
7. Vierte el agua y deja que hierva. Reduce el fuego y cocina a fuego lento por 10 minutos, para que los sabores se integren.
8. Ajusta la textura con un poco más de agua si es necesario y cocina un par de minutos más.
9. Sirve caliente, decorado con cilantro fresco si gustas.

### Consejos
* Si no tienes garam masala, puedes usar una mezcla de canela, clavo y pimienta negra en pequeña cantidad.
* Para una versión vegana rápida, este plato se puede acompañar con arroz integral o pan plano sin sal.
* Evita añadir sal para mantener bajo el sodio; las especias le darán todo el sabor que necesitas.

¡Disfruta de este delicioso y saludable curry rápido!"
"""Can I get ideas for a ketogenic recipe that doesn’t need specific ingredients? I want something American-style, and I’m up for spending as much time as needed!""","(keto, general_pantry, any_cuisine, advanced_complex_high_effort, flexible_no_time_constraint, natural_question_moderate_detail)","## Ensalada Cobb Keto Clásica
Una ensalada americana abundante y muy popular que es perfecta para una dieta cetogénica, llena de proteínas y grasas saludables sin ingredientes difíciles de conseguir. Es ideal para dedicarle tiempo y disfrutar de un plato muy completo y sabroso.

### Ingredientes
* 200 g de pechuga de pollo cocida y desmenuzada
* 2 huevos grandes (aproximadamente 100 g)
* 100 g de tocino ahumado (4-5 tiras)
* 100 g de aguacate (aproximadamente medio aguacate)
* 100 g de lechuga romana picada
* 50 g de tomates cherry, cortados por la mitad
* 50 g de queso azul desmenuzado (opcional, para intensificar sabor)
* 30 ml de aceite de oliva extra virgen
* 15 ml de vinagre de manzana o vinagre balsámico
* Sal y pimienta negra recién molida, al gusto

### Instrucciones
1. Cocina los huevos en agua hirviendo durante 10 minutos para que queden duros. Luego, enfríalos en agua fría, pélalos y córtalos en cuartos.
2. En una sartén a fuego medio, cocina el tocino hasta que esté crujiente (aproximadamente 6-8 minutos), luego colócalo sobre papel absorbente para eliminar el exceso de grasa y córtalo en trozos pequeños.
3. En un bol grande, mezcla la lechuga romana picada, el pollo desmenuzado, los tomates cherry y el aguacate cortado en cubos.
4. Agrega los huevos y el tocino a la mezcla.
5. En un recipiente pequeño, prepara el aderezo mezclando el aceite de oliva, el vinagre, la sal y la pimienta.
6. Vierte el aderezo sobre la ensalada y mezcla suavemente hasta que todo esté bien integrado.
7. Finalmente, espolvorea el queso azul por encima si decides usarlo.

### Consejos
* Puedes variar el tipo de lechuga según lo que tengas a mano, como espinacas o mezcla de hojas verdes.
* Si prefieres evitar la mayonesa, esta vinagreta sencilla es una opción ligera y deliciosa para mantener la ensalada fresca.
* Para un extra de sabor, añade unas gotas de jugo de limón o unas hojas de albahaca fresca picada.

¡Disfruta esta ensalada Cobb keto que combina lo mejor de la cocina americana con ingredientes simples y accesibles!"
"""Hi, I’m looking for a dairy-free French meal that requires specific ingredients from me. I’m kind of intermediate level in cooking so something around 60 mins would be perfect.""","(dairy-free, must_use_specific, French, intermediate_moderate_effort, moderate_30_to_60_mins, detailed_request_high_detail)","¡Hola! Para ayudarte mejor, ¿podrías indicarme qué ingredientes específicos tienes disponibles? Así podré recomendarte una receta francesa deliciosa, sin lácteos, y adecuada para un nivel intermedio que puedas preparar en aproximadamente 60 minutos."
"""Any vegetarian dishes that I can whip up quickly without using specific ingredients? It should be easy and in under 30 mins if possible.""","(vegetarian, no_specific_ingredients, avoid_specific, beginner_easy_low_effort, quick_under_30_mins, short_keywords_minimal_detail)","## Salteado Rápido de Verduras con Garbanzos
Un plato vegetariano fácil, nutritivo y rápido de preparar, perfecto para una comida o cena saludable en menos de 30 minutos.

### Ingredientes
* 1 pimiento rojo mediano (aproximadamente 150 gramos), cortado en tiras de 5 mm
* 1 calabacín mediano (aproximadamente 200 gramos), cortado en medias lunas de 5 mm
* 1 cebolla mediana (aproximadamente 150 gramos), en juliana (tiras de 5 mm)
* 200 gramos de garbanzos cocidos (pueden ser enlatados, escurridos y enjuagados)
* 15 ml de aceite de oliva virgen extra
* 1 diente de ajo pequeño (aproximadamente 5 gramos), picado finamente
* Sal marina, al gusto
* Pimienta negra molida, al gusto
* 5 gramos de pimentón dulce o picante, opcional
* Un puñado de perejil fresco picado para decorar (aproximadamente 10 gramos)

### Instrucciones
1. Calienta el aceite de oliva en una sartén grande a fuego medio.
2. Añade la cebolla y el ajo picado, y sofríe durante 3-4 minutos hasta que la cebolla esté translúcida.
3. Incorpora el pimiento y el calabacín, y cocina removiendo regularmente durante 7-8 minutos hasta que las verduras estén tiernas pero aún firmes.
4. Agrega los garbanzos cocidos, mezcla bien y cocina otros 3-4 minutos para que se calienten y se integren los sabores.
5. Sazona con sal, pimienta y el pimentón si usas, mezcla bien.
6. Retira del fuego, espolvorea con perejil fresco y sirve caliente.

### Consejos
* Puedes acompañarlo con arroz integral o quinoa para un plato más completo.
* Añadir un poco de jugo de limón fresco al final realza el sabor.
* Cambia las verduras según lo que tengas, como zanahorias o champiñones.

¡Disfruta de tu plato colorido y saludable en menos de media hora!"
"""I'm looking for a pescatarian Mediterranean recipe that I can make with stuff in my pantry. Intermediate level and around an hour would be great!""","(pescatarian, general_pantry, Mediterranean, intermediate_moderate_effort, moderate_30_to_60_mins, natural_question_moderate_detail)","¡Perfecto! Para un plato pescatariano mediterráneo, delicioso, equilibrado y que puedas preparar en aproximadamente una hora, te sugiero una receta clásica con ingredientes comunes de despensa: 

## Guiso Mediterráneo de Garbanzos con Bacalao

Un reconfortante guiso que combina el pescado bacalao con legumbres y verduras aromáticas al estilo mediterráneo, lleno de sabor y textura.

### Ingredientes
* 300 g de bacalao desalado, en trozos medianos
* 250 g de garbanzos cocidos (pueden ser de bote, escurridos y enjuagados)
* 1 cebolla mediana (aproximadamente 150 g), picada fina
* 2 dientes de ajo (unos 8 g), picados
* 1 pimiento rojo mediano (aproximadamente 150 g), cortado en tiras
* 2 tomates maduros medianos (aproximadamente 250 g), picados en cubos
* 500 ml de caldo de verduras
* 30 ml de aceite de oliva virgen extra
* 1 cucharadita (5 g) de pimentón dulce
* 1 hoja de laurel
* Sal marina y pimienta negra al gusto
* Perejil fresco picado (para decorar)

### Instrucciones
1. Calienta el aceite de oliva en una cazuela grande a fuego medio. Agrega la cebolla y sofríe durante unos 5 minutos hasta que esté transparente.
2. Añade el ajo y el pimiento rojo, cocina 3-4 minutos, revolviendo para que no se quemen.
3. Incorpora el pimentón dulce y mezcla rápido para que no se queme.
4. Agrega el tomate picado y la hoja de laurel, cocina todo junto durante 10 minutos hasta que los tomates formen una salsa espesa.
5. Vierte el caldo de verduras y lleva a ebullición. Reduce el fuego y deja cocinar 15 minutos para que se integren los sabores.
6. Añade los garbanzos y el bacalao troceado al guiso, cocina suavemente durante 10-12 minutos hasta que el bacalao esté tierno y perfectamente cocido.
7. Sazona con sal y pimienta al gusto, retira la hoja de laurel y mezcla suavemente.
8. Sirve caliente y decora con perejil fresco picado para un toque aromático.

### Consejos
* Si no tienes bacalao, puedes usar otro pescado blanco firme.
* Para un toque más picante, añade una pizca de cayena junto con el pimentón.
* Acompaña con pan integral tostado para aprovechar la salsa.

Este guiso mediterráneo es muy nutritivo, lleno de sabor y ideal para un almuerzo o cena saludable. ¡Disfruta de tu cocina mediterránea con pescado!"
